-19.1592639,-41.4845999
-19.1569838,-41.4832873
-19.1553106,-41.4842595
-19.1538787,-41.4829917
-19.1509879,-41.4841739
-19.1443489,-41.4822749
-19.1373309,-41.4848129
-19.1292819,-41.4923149
-19.1197761,-41.5039214
-19.1125425,-41.5102075
-19.1087475,-41.5185653
-19.1031999,-41.5261599
-19.0962219,-41.5320189
-19.0896709,-41.5345279
-19.0817569,-41.5327683
-19.0755229,-41.5327479
-19.0717484,-41.5314572
-19.0717484,-41.5314572
-19.0755229,-41.5327479
-19.0817569,-41.5327683
-19.0896709,-41.5345279
-19.0962219,-41.5320189
-19.1031999,-41.5261599
-19.1087475,-41.5185653
-19.1125425,-41.5102075
-19.1197761,-41.5039214
-19.1292819,-41.4923149
-19.1373309,-41.4848129
-19.1443489,-41.4822749
-19.1509879,-41.4841739
-19.1538787,-41.4829917
-19.1553106,-41.4842595
-19.1569838,-41.4832873
-19.1592639,-41.4845999
